feature,r_gold_2025,r_pre_2024,reduccion_abs_r
meses_activo,-0.3674648005189063,-0.28206084347224347,0.08540395704666282
num_temporadas_activas,-0.42032153405159833,-0.3053100430351702,0.11501149101642816
num_operaciones,-0.20706095338218267,-0.17796940194420252,0.029091551437980145
facturacion_retail_neta_eur,-0.07310941192694768,-0.05769150316014104,0.015417908766806647
facturacion_b2b,-0.08431928620787875,-0.0587654226212061,0.02555386358667265
